,Fr_o(Horizontal),Fr_o(Vertical),Fif_o(Horizontal),Fif_o(Vertical),Fof_o(Horizontal),Fof_o(Vertical),Fbf_o(Horizontal),Fbf_o(Vertical),Fcf_o(Horizontal),Fcf_o(Vertical)
0,0.1307918095987932,0.17217910726781793,0.006132784483753178,0.019104642354475523,0.00969675397639127,0.030310266515650514,0.008257506327786122,0.050263907132753936,0.01222975791433125,0.06952933051415539
1,0.12493320401807698,0.16566202376833677,0.003485450225662864,0.010585627042119409,0.01261670725918973,0.04007380215419714,0.009719325486608374,0.06811893228833148,0.010388481835560046,0.06811893228833148
2,0.11812628124998115,0.15729879040168046,0.0027108497698165924,0.008940581528958734,0.014235066165986052,0.045050461760438656,0.012913888721937949,0.08248490183631803,0.012913888721937949,0.08248490183631803
3,0.1151414661002873,0.1570912792732727,0.002500916627767966,0.009448331374622398,0.01312674851402618,0.04610101839911001,0.012960175715397398,0.09202051169351941,0.012960175715397398,0.09202051169351941
4,0.11133847395195809,0.15024933054578019,0.002561072430022485,0.00824205648082254,0.012642495890741914,0.043245242750326776,0.013381913797976187,0.10112945219010055,0.013381913797976187,0.10112945219010055
5,0.10682132573697868,0.14351135334055168,0.003244585648730784,0.010873757270478956,0.012305830962133498,0.038181329872341685,0.015438305196613768,0.1043576072071176,0.015438305196613768,0.1043576072071176
6,0.1044077388735889,0.1393177563487228,0.002977045211050748,0.01140048610670309,0.011371103824193884,0.037015635174606216,0.015194996006892112,0.1093583251782953,0.015194996006892112,0.1093583251782953
7,0.10341772726763421,0.13610716677494103,0.0022814338588421426,0.011481120495277348,0.009759268121934943,0.02988428731785724,0.015471032847357164,0.11127106778492578,0.015471032847357164,0.11127106778492578
8,0.10044164507317908,0.12990630681285906,0.0029358598774272163,0.00796555236905028,0.010603316735466025,0.026495054443675264,0.015352993317282711,0.11614249096023724,0.015352993317282711,0.11614249096023724
9,0.10019566375187836,0.13105602232534816,0.00297378943273135,0.012063175282729665,0.012747779963367062,0.03688450987377032,0.013821015447310915,0.11876843163550024,0.013821015447310915,0.11876843163550024
10,0.0996685102251554,0.13194843570820278,0.0027430600211606525,0.010691498846604683,0.013692998785561716,0.03969396325251687,0.016071766927386544,0.11557100893975569,0.016071766927386544,0.11557100893975569
11,0.09529986696647157,0.12733619388056372,0.002979669065615314,0.007358170674136071,0.013291390581334172,0.038459243781644906,0.015582444476240924,0.11742830882790678,0.015582444476240924,0.11742830882790678
12,0.0921123551371896,0.121478654138649,0.0029802038059204682,0.007174384447668152,0.015513786964162531,0.03468169270781643,0.014819222753580637,0.11834425795042246,0.014819222753580637,0.11834425795042246
13,0.09442995186858112,0.12719895289697963,0.002183601220442059,0.011456610213763409,0.013844963609416318,0.042337108152514555,0.014993442573097877,0.1236983164228614,0.014993442573097877,0.1236983164228614
14,0.09121622382588537,0.12051452737061644,0.00261666003717913,0.00865582710551487,0.014890216887399792,0.03684538415974836,0.014162114221655694,0.11879470960982,0.014162114221655694,0.11879470960982
15,0.08964581790899055,0.1195370132008714,0.0024117826663165283,0.011594917000973648,0.015487312548122526,0.038621053300233424,0.01368688786926792,0.12290159642322919,0.01368688786926792,0.12290159642322919
16,0.091112857903614,0.12007050895082555,0.0014029053197498228,0.009969770178126539,0.016287705757900145,0.03984793609728228,0.014661139899128525,0.12005665685921461,0.014661139899128525,0.12005665685921461
